,player,team,position,total,average
0,Bruno Miguel Borges Fernandes,Man Utd,Midfielder,244,6.42
1,Harry Kane,Spurs,Striker,242,6.37
2,Mohamed Salah,Liverpool,Midfielder,231,6.08
3,Heung-Min Son,Spurs,Midfielder,228,6.0
4,Patrick Bamford,Leeds,Striker,194,5.11
5,Jamie Vardy,Leicester,Striker,187,4.92
6,Emiliano Martínez,Aston Villa,Goalkeeper,186,4.89
7,Sadio Mané,Liverpool,Midfielder,176,4.63
8,Marcus Rashford,Man Utd,Midfielder,174,4.58
9,Stuart Dallas,Leeds,Defender,171,4.5
10,Ollie Watkins,Aston Villa,Striker,168,4.42
11,Dominic Calvert-Lewin,Everton,Striker,165,4.34
12,Andrew Robertson,Liverpool,Defender,161,4.24
15,Ederson Santana de Moraes,Man City,Goalkeeper,160,4.21
13,Trent Alexander-Arnold,Liverpool,Defender,160,4.21
14,Jack Harrison,Leeds,Midfielder,160,4.21
16,Ilkay Gündogan,Man City,Midfielder,157,4.13
17,James Ward-Prowse,Southampton,Midfielder,156,4.11
18,Raheem Sterling,Man City,Midfielder,154,4.05
19,Illan Meslier,Leeds,Goalkeeper,154,4.05
20,Matheus Pereira,West Brom,Midfielder,153,4.03
21,Aaron Cresswell,West Ham,Defender,153,4.03
22,Hugo Lloris,Spurs,Goalkeeper,149,3.92
24,Tomas Soucek,West Ham,Midfielder,147,3.87
23,Mason Mount,Chelsea,Midfielder,147,3.87
25,Riyad Mahrez,Man City,Midfielder,145,3.82
26,Nick Pope,Burnley,Goalkeeper,144,3.79
27,Aaron Wan-Bissaka,Man Utd,Defender,144,3.79
28,Rúben Santos Gato Alves Dias,Man City,Defender,142,3.94
29,Kevin De Bruyne,Man City,Midfielder,141,3.71
30,Roberto Firmino,Liverpool,Striker,141,3.71
31,Jarrod Bowen,West Ham,Midfielder,141,3.71
32,Edouard Mendy,Chelsea,Goalkeeper,140,3.89
33,Alisson Ramses Becker,Liverpool,Goalkeeper,140,3.68
34,Sam Johnstone,West Brom,Goalkeeper,140,3.68
35,Benjamin Chilwell,Chelsea,Defender,139,3.66
36,Matt Targett,Aston Villa,Defender,138,3.63
37,João Pedro Cavaco Cancelo,Man City,Defender,138,3.63
38,Chris Wood,Burnley,Striker,138,3.63
39,Che Adams,Southampton,Striker,137,3.61
40,Wilfried Zaha,Crystal Palace,Midfielder,136,3.58
41,Bertrand Traoré,Aston Villa,Midfielder,135,3.65
42,Jack Grealish,Aston Villa,Midfielder,135,3.55
43,Phil Foden,Man City,Midfielder,135,3.55
44,Callum Wilson,Newcastle,Striker,134,3.53
48,Lukasz Fabianski,West Ham,Goalkeeper,133,3.5
47,Raphael Dias Belloli,Leeds,Midfielder,133,3.91
46,James Maddison,Leicester,Midfielder,133,3.5
45,Youri Tielemans,Leicester,Midfielder,133,3.5
50,Leandro Trossard,Brighton,Midfielder,132,3.47
49,Rui Pedro dos Santos Patrício,Wolves,Goalkeeper,132,3.47
51,Danny Ings,Southampton,Striker,131,3.45
52,Bernd Leno,Arsenal,Goalkeeper,131,3.45
53,Pierre-Emerick Aubameyang,Arsenal,Midfielder,131,3.45
54,Lewis Dunk,Brighton,Defender,130,3.42
55,Alexandre Lacazette,Arsenal,Striker,129,3.39
59,Kasper Schmeichel,Leicester,Goalkeeper,128,3.37
60,Vladimir Coufal,West Ham,Defender,128,3.66
57,Timo Werner,Chelsea,Striker,128,3.37
58,Tyrone Mings,Aston Villa,Defender,128,3.37
56,John Stones,Man City,Defender,128,3.37
61,Michael Keane,Everton,Defender,127,3.34
62,Harvey Barnes,Leicester,Midfielder,126,3.32
63,Pablo Fornals,West Ham,Midfielder,125,3.29
64,Eberechi Eze,Crystal Palace,Midfielder,125,3.29
67,Pedro Lomba Neto,Wolves,Midfielder,124,3.26
68,Luke Shaw,Man Utd,Defender,124,3.26
69,Alphonse Areola,Fulham,Goalkeeper,124,3.26
66,Harry Maguire,Man Utd,Defender,124,3.26
65,Vicente Guaita,Crystal Palace,Goalkeeper,124,3.26
70,Richarlison de Andrade,Everton,Striker,123,3.24
71,Aaron Ramsdale,Sheffield Utd,Goalkeeper,123,3.24
72,Gylfi Sigurdsson,Everton,Midfielder,122,3.21
73,Lucas Digne,Everton,Defender,120,3.16
74,Ezri Konsa Ngoyo,Aston Villa,Defender,119,3.13
75,Michail Antonio,West Ham,Striker,118,3.11
76,Pascal Groß,Brighton,Midfielder,116,3.05
77,Stuart Armstrong,Southampton,Midfielder,115,3.03
78,Gabriel Fernando de Jesus,Man City,Striker,115,3.03
82,John McGinn,Aston Villa,Midfielder,114,3.0
83,Jordan Pickford,Everton,Goalkeeper,114,3.0
79,Nicolas Pépé,Arsenal,Midfielder,114,3.0
81,Bukayo Saka,Arsenal,Midfielder,114,3.0
80,Jorge Luiz Frello Filho,Chelsea,Midfielder,114,3.0
84,Dwight McNeil,Burnley,Midfielder,113,2.97
85,Gareth Bale,Spurs,Midfielder,113,3.14
86,César Azpilicueta,Chelsea,Defender,113,2.97
87,Reece James,Chelsea,Defender,112,2.95
88,Ashley Westwood,Burnley,Midfielder,112,2.95
89,Anwar El Ghazi,Aston Villa,Midfielder,111,2.92
91,Kelechi Iheanacho,Leicester,Striker,110,2.89
90,Ezgjan Alioski,Leeds,Defender,110,2.89
92,Jonny Evans,Leicester,Defender,109,2.87
93,James Tarkowski,Burnley,Defender,109,2.87
94,Nélson Cabral Semedo,Wolves,Defender,109,3.03
95,Kurt Zouma,Chelsea,Defender,108,2.84
96,Pierre-Emile Højbjerg,Spurs,Midfielder,107,2.82
97,Ademola Lookman,Fulham,Midfielder,107,3.06
98,Mason Greenwood,Man Utd,Midfielder,106,2.79
99,Jesse Lingard,West Ham,Midfielder,106,5.89
100,Conor Coady,Wolves,Defender,106,2.79
101,Christian Benteke,Crystal Palace,Striker,106,2.79
103,Neal Maupay,Brighton,Striker,105,2.76
102,Rob Holding,Arsenal,Defender,105,2.76
104,Rúben Diogo da Silva Neves,Wolves,Midfielder,104,2.74
105,Ben White,Brighton,Defender,104,2.74
106,Matthew Lowton,Burnley,Defender,103,2.71
107,Victor Lindelöf,Man Utd,Defender,102,2.68
108,Ben Mee,Burnley,Defender,102,2.68
109,Ola Aina,Fulham,Defender,102,2.91
110,James Justin,Leicester,Defender,101,2.66
111,Robert Sánchez,Brighton,Goalkeeper,101,3.16
112,James Rodríguez,Everton,Midfielder,101,2.66
116,Luke Ayling,Leeds,Defender,100,2.63
117,Tosin Adarabioyo,Fulham,Defender,100,2.94
113,Angelo Ogbonna,West Ham,Defender,100,2.63
115,David McGoldrick,Sheffield Utd,Striker,100,2.63
114,Ben Godfrey,Everton,Defender,100,2.94
118,Mateusz Klich,Leeds,Midfielder,99,2.61
119,Tanguy Ndombele,Spurs,Midfielder,99,2.61
120,Romain Saïss,Wolves,Defender,99,2.61
121,Edinson Cavani,Man Utd,Striker,99,2.83
122,Georginio Wijnaldum,Liverpool,Midfielder,97,2.55
123,Miguel Almirón,Newcastle,Midfielder,97,2.55
125,Kieran Tierney,Arsenal,Defender,96,2.53
124,Joël Veltman,Brighton,Defender,96,2.53
126,Ferran Torres,Man City,Midfielder,95,2.5
127,Timothy Castagne,Leicester,Defender,94,2.47
128,Adama Traoré,Wolves,Midfielder,94,2.47
129,Bernardo Mota Veiga de Carvalho e Silva,Man City,Midfielder,94,2.47
130,Jan Bednarek,Southampton,Defender,94,2.47
131,Andros Townsend,Crystal Palace,Midfielder,94,2.47
132,Alex McCarthy,Southampton,Goalkeeper,94,2.47
133,Héctor Bellerín,Arsenal,Defender,94,2.47
136,Antonio Rüdiger,Chelsea,Defender,93,2.45
135,Kyle Walker-Peters,Southampton,Defender,93,2.45
134,Joachim Andersen,Fulham,Defender,93,2.74
137,Paul Pogba,Man Utd,Midfielder,92,2.42
138,Thiago Thiago,Chelsea,Defender,92,2.42
139,David de Gea,Man Utd,Goalkeeper,91,2.39
140,Scott McTominay,Man Utd,Midfielder,91,2.39
141,Kai Havertz,Chelsea,Midfielder,91,2.39
142,Kyle Walker,Man City,Defender,91,2.39
143,Rodrigo Hernandez,Man City,Midfielder,91,2.39
147,Matthew Cash,Aston Villa,Defender,89,2.34
146,Danny Welbeck,Brighton,Striker,89,2.7
145,Rodrigo Moreno,Leeds,Striker,89,2.34
144,Sergio Reguilón,Spurs,Defender,89,2.47
148,Toby Alderweireld,Spurs,Defender,88,2.32
149,Bobby Decordova-Reid,Fulham,Striker,88,2.32
150,Diogo Jota,Liverpool,Midfielder,86,2.39
151,Declan Rice,West Ham,Midfielder,86,2.26
152,Jannik Vestergaard,Southampton,Defender,86,2.26
153,Adam Webster,Brighton,Defender,85,2.24
154,Ivan Ricardo Neves Abreu Cavaleiro,Fulham,Midfielder,85,2.24
155,Allan Saint-Maximin,Newcastle,Midfielder,85,2.24
156,Charlie Taylor,Burnley,Defender,83,2.18
158,Cheikhou Kouyaté,Crystal Palace,Midfielder,82,2.16
157,Christian Pulisic,Chelsea,Midfielder,82,2.16
159,Seamus Coleman,Everton,Defender,81,2.13
160,Mason Holgate,Everton,Defender,80,2.11
161,Lucas Rodrigues Moura da Silva,Spurs,Midfielder,80,2.11
162,Karl Darlow,Newcastle,Goalkeeper,80,2.11
163,Abdoulaye Doucouré,Everton,Midfielder,80,2.11
164,Serge Aurier,Spurs,Defender,80,2.11
167,Kyle Bartley,West Brom,Defender,79,2.08
168,Wilfred Ndidi,Leicester,Midfielder,79,2.08
169,Yerry Mina,Everton,Defender,79,2.08
166,Callum Robinson,West Brom,Striker,79,2.08
165,Darnell Furlong,West Brom,Defender,79,2.08
170,Gabriel Magalhães,Arsenal,Defender,78,2.05
171,Marc Albrighton,Leicester,Midfielder,78,2.05
172,Willian Borges Da Silva,Arsenal,Midfielder,78,2.05
173,Ryan Bertrand,Southampton,Defender,78,2.05
174,Eric Dier,Spurs,Defender,77,2.03
175,Yves Bissouma,Brighton,Midfielder,77,2.03
176,Leander Dendoncker,Wolves,Midfielder,77,2.03
177,Conor Townsend,West Brom,Defender,76,2.0
178,André-Frank Zambo Anguissa,Fulham,Midfielder,76,2.0
182,Craig Dawson,West Ham,Defender,75,2.21
181,Daniel Castelo Podence,Wolves,Midfielder,75,1.97
180,Theo Walcott,Southampton,Midfielder,75,2.21
179,Anthony Martial,Man Utd,Striker,75,1.97
183,Emile Smith Rowe,Arsenal,Midfielder,74,1.95
186,Ross Barkley,Aston Villa,Midfielder,74,2.06
187,Josh Brownhill,Burnley,Midfielder,74,1.95
184,Jonjo Shelvey,Newcastle,Midfielder,74,1.95
185,Joelinton Cássio Apolinário de Lira,Newcastle,Striker,74,1.95
188,Saïd Benrahma,West Ham,Midfielder,73,2.21
189,João Filipe Iria Santos Moutinho,Wolves,Midfielder,73,1.92
190,Fabio Silva,Wolves,Striker,72,1.89
191,Douglas Luiz Soares de Paulo,Aston Villa,Midfielder,72,1.89
192,Joseph Willock,Newcastle,Midfielder,72,4.24
196,Wesley Fofana,Leicester,Defender,71,2.03
195,Conor Gallagher,West Brom,Midfielder,71,1.97
194,Pascal Struijk,Leeds,Defender,71,1.87
193,Fabio Henrique Tavares,Liverpool,Midfielder,71,1.87
197,Hakim Ziyech,Chelsea,Midfielder,70,1.84
198,Granit Xhaka,Arsenal,Midfielder,70,1.84
199,Jordan Ayew,Crystal Palace,Striker,70,1.84
200,John Fleck,Sheffield Utd,Midfielder,70,1.84
205,Matt Phillips,West Brom,Midfielder,69,1.82
207,Solomon March,Brighton,Midfielder,69,1.82
206,Jacob Murphy,Newcastle,Midfielder,69,1.82
203,Oleksandr Zinchenko,Man City,Defender,69,1.82
204,Frederico Rodrigues de Paula Santos,Man Utd,Midfielder,69,1.82
202,Tammy Abraham,Chelsea,Striker,69,1.82
201,Harrison Reed,Fulham,Midfielder,69,1.82
208,Willy Boly,Wolves,Defender,68,1.79
209,Nathaniel Phillips,Liverpool,Defender,68,2.06
210,Nathan Redmond,Southampton,Midfielder,67,1.76
211,Kalvin Phillips,Leeds,Midfielder,67,1.76
212,Joel Ward,Crystal Palace,Defender,66,1.74
215,Fernando Luiz Rosa,Man City,Defender,65,1.71
214,Jeffrey Schlupp,Crystal Palace,Midfielder,65,1.71
213,Alex Iwobi,Everton,Midfielder,65,1.71
216,Jairo Riedewald,Crystal Palace,Midfielder,64,1.68
217,Ruben Loftus-Cheek,Fulham,Midfielder,64,1.88
218,Dan Burn,Brighton,Defender,64,1.68
219,Luka Milivojevic,Crystal Palace,Midfielder,63,1.66
220,George Baldock,Sheffield Utd,Defender,63,1.66
221,Aleksandar Mitrović,Fulham,Striker,63,1.66
222,Hélder Wander Sousa de Azevedo e Costa,Leeds,Midfielder,63,1.66
223,Benjamin Mendy,Man City,Defender,63,1.66
226,N'Golo Kanté,Chelsea,Midfielder,62,1.63
225,Daniel Ceballos Fernández,Arsenal,Midfielder,62,1.63
224,Matej Vydra,Burnley,Striker,62,1.63
227,Andreas Christensen,Chelsea,Defender,61,1.61
229,Callum Hudson-Odoi,Chelsea,Midfielder,59,1.55
230,Liam Cooper,Leeds,Defender,59,1.55
228,Çaglar Söyüncü,Leicester,Defender,59,1.55
231,Max Kilman,Wolves,Defender,58,1.53
232,Adam Lallana,Brighton,Midfielder,58,1.53
233,Tyrick Mitchell,Crystal Palace,Defender,58,1.53
234,Ayoze Pérez,Leicester,Midfielder,58,1.53
235,Aymeric Laporte,Man City,Defender,58,1.53
238,Marcos Alonso,Chelsea,Defender,57,1.5
239,Mbaye Diagne,West Brom,Striker,57,3.17
237,Antonee Robinson,Fulham,Defender,57,1.5
236,John Egan,Sheffield Utd,Defender,57,1.5
240,Enda Stevens,Sheffield Utd,Defender,56,1.47
241,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,Midfielder,56,1.47
242,Jordan Henderson,Liverpool,Midfielder,56,1.47
243,Mario Lemina,Fulham,Midfielder,55,1.45
244,Steven Bergwijn,Spurs,Midfielder,55,1.45
245,Thiago Alcántara do Nascimento,Liverpool,Midfielder,55,1.49
249,Oliver Norwood,Sheffield Utd,Midfielder,54,1.42
250,Rayan Ait Nouri,Wolves,Defender,54,1.59
247,Mateo Kovacic,Chelsea,Midfielder,54,1.42
248,Patrick van Aanholt,Crystal Palace,Defender,54,1.42
246,Jay Rodriguez,Burnley,Striker,54,1.42
251,Federico Fernández,Newcastle,Defender,53,1.39
252,Gary Cahill,Crystal Palace,Defender,53,1.39
253,Oriol Romeu Vidal,Southampton,Midfielder,52,1.37
254,Ashley Barnes,Burnley,Striker,52,1.37
255,Matt Ritchie,Newcastle,Midfielder,52,1.37
256,Jeff Hendrick,Newcastle,Midfielder,52,1.37
257,Ben Davies,Spurs,Defender,52,1.37
260,Oluwasemilogo Adesewo Ibidapo Ajayi,West Brom,Defender,51,1.34
259,Ben Osborn,Sheffield Utd,Midfielder,51,1.34
258,Chris Basham,Sheffield Utd,Defender,51,1.34
261,Kenny Tete,Fulham,Defender,50,1.32
262,Diego Llorente,Leeds,Defender,50,1.39
263,Johann Berg Gudmundsson,Burnley,Midfielder,50,1.32
264,Mohamed Naser El Sayed Elneny,Arsenal,Midfielder,50,1.32
265,Curtis Jones,Liverpool,Midfielder,50,1.32
266,Erik Pieters,Burnley,Defender,50,1.32
267,Tyler Roberts,Leeds,Midfielder,49,1.29
270,Martin Dubravka,Newcastle,Goalkeeper,48,1.26
271,Alexis Mac Allister,Brighton,Midfielder,48,1.26
269,John Lundstram,Sheffield Utd,Midfielder,48,1.26
268,André Filipe Tavares Gomes,Everton,Midfielder,48,1.26
272,Olivier Giroud,Chelsea,Striker,47,1.24
273,Tom Davies,Everton,Midfielder,47,1.24
274,Thomas Partey,Arsenal,Midfielder,47,1.38
275,Allan Marques Loureiro,Everton,Midfielder,47,1.24
276,Matt Doherty,Spurs,Defender,47,1.24
277,Ciaran Clark,Newcastle,Defender,46,1.21
278,Oliver Burke,Sheffield Utd,Midfielder,46,1.21
279,Moussa Djenepo,Southampton,Midfielder,46,1.21
281,Emil Krafth,Newcastle,Defender,45,1.18
280,James McArthur,Crystal Palace,Midfielder,45,1.18
282,Robbie Brady,Burnley,Midfielder,44,1.16
283,Dean Henderson,Man Utd,Goalkeeper,44,1.16
284,James Milner,Liverpool,Midfielder,44,1.16
285,Moussa Sissoko,Spurs,Midfielder,44,1.16
286,Ethan Ampadu,Sheffield Utd,Defender,44,1.16
287,Oliver McBurnie,Sheffield Utd,Striker,44,1.16
288,Jamal Lewis,Newcastle,Defender,44,1.16
289,Jamaal Lascelles,Newcastle,Defender,44,1.16
292,Davinson Sánchez,Spurs,Defender,43,1.13
291,Raúl Jiménez,Wolves,Striker,43,1.13
290,Daniel James,Man Utd,Midfielder,43,1.13
294,Arthur Masuaku,West Ham,Defender,42,1.11
295,Issa Diop,West Ham,Defender,42,1.11
296,Ainsley Maitland-Niles,West Brom,Defender,42,2.47
293,Joel Matip,Liverpool,Defender,42,1.11
302,Jack Stephens,Southampton,Defender,41,1.08
304,Michy Batshuayi,Crystal Palace,Striker,41,1.08
303,Karlan Grant,West Brom,Striker,41,1.21
301,Dara O'Shea,West Brom,Defender,41,1.08
300,David Luiz Moreira Marinho,Arsenal,Defender,41,1.08
299,Sébastien Haller,West Ham,Striker,41,1.08
298,Nampalys Mendy,Leicester,Midfielder,41,1.08
297,Sean Longstaff,Newcastle,Midfielder,41,1.08
305,Willian José Da Silva,Wolves,Striker,40,2.11
306,Paul Dummett,Newcastle,Defender,40,1.05
307,Josh Maja,Fulham,Striker,40,2.35
308,Martin Ødegaard,Arsenal,Midfielder,40,2.22
309,Isaac Hayden,Newcastle,Midfielder,40,1.05
313,Ryan Fraser,Newcastle,Midfielder,39,1.03
314,Jayden Bogle,Sheffield Utd,Defender,39,1.03
315,Grady Diangana,West Brom,Midfielder,39,1.03
312,Billy Sharp,Sheffield Utd,Striker,39,1.03
310,Fabián Balbuena,West Ham,Defender,39,1.03
311,Scott Dann,Crystal Palace,Defender,39,1.03
316,Aaron Connolly,Brighton,Striker,38,1.0
318,Sergio Agüero,Man City,Striker,38,1.0
317,Robin Koch,Leeds,Defender,38,1.0
319,Dennis Praet,Leicester,Midfielder,37,0.97
322,Nemanja Matic,Man Utd,Midfielder,36,0.95
323,Nathan Tella,Southampton,Midfielder,36,0.95
324,Edward Nketiah,Arsenal,Striker,36,0.95
321,Calum Chambers,Arsenal,Defender,36,0.95
320,Gabriel Teodoro Martinelli Silva,Arsenal,Midfielder,36,0.95
326,Giovani Lo Celso,Spurs,Midfielder,35,0.92
327,Steven Alzate,Brighton,Midfielder,35,0.92
325,Tariq Lamptey,Brighton,Defender,35,0.92
328,Rhian Brewster,Sheffield Utd,Striker,34,0.97
329,Pablo Marí,Arsenal,Defender,34,0.89
330,Okay Yokuslu,West Brom,Midfielder,34,2.0
331,Ahmed El Mohamady,Aston Villa,Defender,33,0.87
332,Romaine Sawyers,West Brom,Midfielder,33,0.87
333,Jack Cork,Burnley,Midfielder,33,0.87
336,Jack Robinson,Sheffield Utd,Defender,32,0.84
337,Juan Mata,Man Utd,Midfielder,32,0.84
335,Donny van de Beek,Man Utd,Midfielder,32,0.84
334,Kortney Hause,Aston Villa,Defender,32,0.84
338,Dwight Gayle,Newcastle,Striker,31,0.82
339,Sander Berge,Sheffield Utd,Midfielder,31,0.82
340,Takumi Minamino,Southampton,Midfielder,31,1.72
341,Eric Bailly,Man Utd,Defender,31,0.82
342,Ibrahima Diallo,Southampton,Midfielder,31,0.91
343,Andy Carroll,Newcastle,Striker,30,0.79
344,Fraser Forster,Southampton,Goalkeeper,30,0.79
345,Bamidele Alli,Spurs,Midfielder,30,0.79
346,Hal Robson-Kanu,West Brom,Striker,30,0.79
347,Fabian Schär,Newcastle,Defender,30,0.79
349,Nathan Aké,Man City,Defender,29,0.76
348,Kean Bryan,Sheffield Utd,Defender,29,1.0
350,Rhys Williams,Liverpool,Defender,28,0.88
351,Javier Manquillo,Newcastle,Defender,28,0.74
352,Cédric Soares,Arsenal,Defender,28,0.74
353,Erik Lamela,Spurs,Midfielder,28,0.74
